Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type|Query
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|283|edgeRange|id|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|314|edgeRange|id|PatternMatching|2
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|290|edgeRange|id|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|66|hash|id|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|82|hash|id|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|82|hash|id|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|90|hash|id|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|62|hash|name|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|81|hash|name|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|86|hash|name|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|86|hash|name|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|64|hash|regionId|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|82|hash|regionId|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|77|hash|regionId|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|84|hash|regionId|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|65|range|id|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|80|range|id|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|87|range|id|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|86|range|id|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|64|range|name|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|83|range|name|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|78|range|name|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|88|range|name|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|63|range|regionId|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|82|range|regionId|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|81|range|regionId|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|87|range|regionId|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|66|default|id|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|82|default|id|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|76|default|id|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|85|default|id|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|64|default|name|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|80|default|name|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|76|default|name|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|86|default|name|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|65|default|regionId|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|81|default|regionId|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|81|default|regionId|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|88|default|regionId|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|79|edgeHash|id|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|94|edgeHash|id|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|84|edgeHash|id|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|101|edgeHash|id|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|all|null|null|false|true|212|edgeRange|id|Snapshot
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|230|edgeRange|id|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|207|edgeRange|id|PatternMatching|2
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|232|edgeRange|id|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|71|hash|id|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|48|hash|id|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|48|hash|id|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|52|hash|id|PatternMatching|3
